NRO.;NOMBRE DE LA EMPRESA;RUBRO;DIRECCION;DEPARTAMENTO ;CONTACTO;CORREO ELECTRONICO;PAGINA WEB;
1;100% ORUREÑO;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Baptista Frente Cementerio General Nº 190;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
2;27 PIEZAS MOBILIARIO Y ARQUITECTURA;"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Z. Miraflores C. Ponsnanski Nº. 1047;La Paz;No brinda este dato;No brinda este dato;www.amarillasinternet.com/27piezas;
3;2WS.A.C.E. S.R.L.;DACTILOGRAFÍA;C. Colón Ed. Procolon P.4 Of.405;La Paz;Willy Hipolito Vargas Vargas;no brinda información;no brinda información;
4;3 DE MAYO;SERVICIOS DE FUNERARIA;Av. Baptista frente Cementerio General Nº1148-B;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
5;3M DISTRIBUIDOR;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Av Bush #1599 esq Pasoso Kanki;La Paz;Alan Padilla;emcosimlpz@entelnet.bo;www.gir.com;
6;4 TCOR;HOTELES, RESTAURANTES, BARES, SERVICIOS VINCULADOS (CAMARERAS, BARMAN, GARZONES, ADMINISTRACIION HOTELERA);Z. Central C. Tarija Nº. 213;La Paz;No brinda este dato;LACUEVA@4CORNERSLAPAZ.COM;Página Web no disponible;
7;4TA. DIMENSION PRODUCTORA AUDIOVISUAL;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Sergio Trujillo;no brinda información;no brinda información;
8;8 MM MARKETING Y PUBLICIDAD;NO IDENTIFICADO EL TIPO;AV. ARCE #2556 ESQ. PZA. ISABEL LA CATOLICA ED. ISABELITA P.16 DEPTO 1603 Z. SOPOCACHI;La Paz;No Brinda esta informacion;8mmbolivia@gmail.com;;
9;A & A EVENTOS S.R.L.;ORGANIZACIÓN DE EVENTOS (PLANIFICACIÓN Y PRODUCCIÓN DE CONGRESOS , FESTIVALES, CEREMONIAS, FIESTAS, CONVENCIONES U OTRO TIPO DE REUNIONES);Z. Cota Cota Calle 35 B N° 210 P. 1;La Paz;No Disponible;michelearteaga@gmail.com;No Disponible;
10;A & B ( Mantenimiento de automotorees - autopartes );VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Colombia Nº. 528 Z.San Pedro;La Paz;Elma Bustos;No disponible;;
11;"A & J ""Bordados Computarizados""";FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Alto San Pedro #981 C. Julio tapia;La Paz;No Disponible;No Disponible;No Disponible;
12;A & M ARANCIBIA & MEDRANO;NO IDENTIFICADO EL TIPO;Av. Saavedra Nº. 1760 Ed. Ibita Mzz. Loc. 13;La Paz;Maria Susana Medrano Valdivia;medranosusy@yahoo.es;No Brinda Información;
13;A & S;FABRICACIÓN DE PROD.DE METAL(METALMECÁNICA), EXC. MAQ/ EQUIPO, LAMINADO Y ESTAMPADO (TANQUES, DEPOSITOS, CUCHILLERIA, ELEMENTOS DE FERRETERIA);Av. Buenos Aires Entre Garita y Tumusla Nº. 1831;La Paz;No brinda este dato;ays-31@hotmail.com;pagina Web no disponible;
